Word,RelativeFreq,SocialistFreq,CorpusFreq
kärsi,1.145355,0.009232,0.008061
helppoa,1.145688,0.008593,0.007500
maailman,1.145718,0.105562,0.092136
silmiin,1.145773,0.007838,0.006841
anna,1.145833,0.137141,0.119687
porista,1.146157,0.037024,0.032303
lehti,1.146192,0.201555,0.175847
rakentaa,1.146277,0.026091,0.022761
yleisölle,1.146489,0.075911,0.066212
jatketaan,1.146778,0.021838,0.019043
otaksua,1.146973,0.007710,0.006722
salosta,1.147000,0.021048,0.018351
totuuden,1.147282,0.024790,0.021607
ostettu,1.147297,0.009383,0.008179
molemmat,1.147323,0.078200,0.068159
limat,1.147469,0.009011,0.007853
takaisin,1.147475,0.116205,0.101270
joko,1.147574,0.143113,0.124709
suurta,1.147693,0.112289,0.097839
korkeat,1.147945,0.010301,0.008974
elämä,1.147951,0.066465,0.057899
mitkä,1.147970,0.043763,0.038122
poliisikonstaapeli,1.148009,0.011637,0.010137
oikeaksi,1.148145,0.018457,0.016076
vaati,1.148337,0.009058,0.007888
tehtyjen,1.148423,0.011846,0.010315
minne,1.148449,0.023337,0.020321
alulle,1.148702,0.010592,0.009220
warlen,1.148917,0.007582,0.006600
asiana,1.149010,0.013717,0.011938
soittaa,1.149148,0.011812,0.010279
jaettu,1.149177,0.017923,0.015596
asukkaat,1.149331,0.018515,0.016110
huhut,1.149413,0.011835,0.010296
kustannukset,1.149455,0.017935,0.015603
tunnustuksen,1.149597,0.008454,0.007354
tapahtuisi,1.150246,0.010348,0.008996
julkaisi,1.150431,0.007606,0.006611
tahdomme,1.150526,0.022861,0.019870
erinäisten,1.150730,0.014298,0.012425
hymiä,1.150872,0.010963,0.009526
tietä,1.150937,0.067093,0.058294
pienempi,1.151147,0.033806,0.029367
wahwistanut,1.151200,0.012636,0.010977
pohjalla,1.151243,0.026474,0.022996
kauan,1.151430,0.054893,0.047674
hiljaa,1.151471,0.024406,0.021196
meille,1.151918,0.157032,0.136323
loppu,1.151979,0.026219,0.022760
lajia,1.151986,0.058239,0.050556
sillan,1.152021,0.022164,0.019239
ylläpitää,1.152072,0.011103,0.009637
selma,1.152222,0.021711,0.018842
muosi,1.152244,0.013519,0.011733
lähteneet,1.152352,0.014217,0.012337
sanaa,1.152412,0.024882,0.021592
pidän,1.152428,0.011242,0.009755
kirjaston,1.152558,0.011649,0.010107
kertaan,1.152688,0.008163,0.007082
mainio,1.152748,0.012764,0.011073
roai,1.153037,0.009929,0.008611
julistettu,1.153132,0.017644,0.015301
mikä,1.153312,0.217681,0.188745
lannan,1.153344,0.008279,0.007179
maailmaa,1.153382,0.010824,0.009385
opettaa,1.153390,0.018806,0.016305
äärettömän,1.153424,0.015146,0.013131
kunnallisia,1.153544,0.007629,0.006613
kalliiksi,1.153818,0.008895,0.007709
jona,1.153922,0.017388,0.015069
alueen,1.154029,0.017470,0.015138
uskoa,1.154306,0.024058,0.020842
elänyt,1.154572,0.009058,0.007845
moneen,1.154741,0.013206,0.011436
kehittää,1.154916,0.010499,0.009090
esti,1.154968,0.013252,0.011474
jako,1.155115,0.011277,0.009763
august,1.155188,0.047620,0.041223
kohdin,1.155259,0.011231,0.009721
kuntaa,1.155300,0.009418,0.008152
lainan,1.155540,0.027857,0.024107
kääntynyt,1.155573,0.008953,0.007748
suureksi,1.155778,0.036048,0.031189
perjantain,1.155841,0.010766,0.009314
takeita,1.156157,0.007501,0.006488
hinnan,1.156567,0.031157,0.026939
syysk,1.156720,0.076957,0.066530
onnen,1.156777,0.021734,0.018788
minun,1.156827,0.193515,0.167281
otan,1.156829,0.020967,0.018125
otettu,1.156939,0.079978,0.069129
lähtemään,1.157182,0.017435,0.015067
äänen,1.157311,0.021920,0.018940
aikojen,1.157445,0.010592,0.009151
hyödyksi,1.157451,0.013671,0.011811
suuremmat,1.157533,0.017725,0.015313
joensuusta,1.157575,0.023558,0.020351
oikealle,1.157773,0.013636,0.011777
kullekin,1.157947,0.015715,0.013572
kolmessa,1.158067,0.008221,0.007099
jäseninä,1.158265,0.017284,0.014922
antaa,1.158281,0.381899,0.329712
aikamme,1.158648,0.009139,0.007888
vanhin,1.158737,0.009918,0.008559
muita,1.159043,0.179328,0.154721
suuressa,1.159407,0.059239,0.051094
monet,1.159483,0.079165,0.068276
