aikana	0.062716	0.211675	0.148958
yrjönkatu	0.062683	0.072020	0.009337
uusia	0.062092	0.200015	0.137923
takia	0.061771	0.112776	0.051005
asiamiesten	0.061709	0.077076	0.015367
toimenpiteisiin	0.061587	0.083370	0.021783
asiaa	0.061407	0.164418	0.103011
päättänyt	0.061299	0.137797	0.076498
penniä	0.061259	0.227307	0.166047
sentään	0.061150	0.105657	0.044507
jätettiin	0.061088	0.096732	0.035644
myöskin	0.060997	0.577295	0.516297
läht	0.060881	0.072381	0.011500
esittää	0.060786	0.113395	0.052609
mahdollisimman	0.060745	0.074393	0.013648
työläisiä	0.060719	0.061134	0.000415
jäsen	0.060360	0.097402	0.037042
itselleen	0.060152	0.153326	0.093174
muuta	0.060091	0.271880	0.211789
jäsentä	0.059900	0.098640	0.038741
pklo	0.059774	0.059793	0.000019
piirin	0.059551	0.105244	0.045693
keskusteltiin	0.059451	0.077334	0.017883
työv	0.059199	0.060515	0.001316
eduskunnassa	0.059070	0.060825	0.001755
mukaan	0.059066	0.589315	0.530249
ovi	0.059039	0.067325	0.008286
tästä	0.058468	0.356488	0.298021
ammattijärjestön	0.058338	0.058452	0.000113
juniin	0.058330	0.059174	0.000844
heibän	0.058318	0.065107	0.006789
kallion	0.058290	0.066500	0.008210
juttu	0.058275	0.096938	0.038663
ellei	0.058137	0.144195	0.086057
pja	0.058099	0.058813	0.000714
sanoa	0.058083	0.154925	0.096842
jokainen	0.057756	0.167771	0.110016
otetaan	0.057740	0.242061	0.184321
erään	0.057556	0.203885	0.146328
iltana	0.057540	0.142853	0.085313
itä	0.057355	0.107101	0.049747
tama	0.057336	0.104986	0.047650
esille	0.057253	0.115820	0.058567
toto	0.057072	0.103129	0.046057
toisten	0.056965	0.088838	0.031874
pros	0.056914	0.075941	0.019027
luona	0.056778	0.249336	0.192558
oat	0.056772	0.058710	0.001938
tun	0.056692	0.167513	0.110822
yrjönk	0.056570	0.062992	0.006422
iltama	0.056384	0.099672	0.043289
kysymys	0.056189	0.179173	0.122984
näiden	0.056166	0.151108	0.094942
sitäpaitsi	0.056045	0.114014	0.057970
jokaisen	0.055698	0.112415	0.056717
tehtaan	0.055652	0.145846	0.090193
ryhtyä	0.055643	0.111125	0.055482
osastojen	0.055582	0.061083	0.005501
edustaja	0.055577	0.069389	0.013812
rouoben	0.055569	0.064436	0.008867
puhuja	0.055356	0.119277	0.063920
laitti	0.055250	0.141512	0.086262
rahastonhoitaja	0.055166	0.061805	0.006639
puolueemme	0.054991	0.055563	0.000572
enemmän	0.054402	0.317744	0.263342
pukuja	0.054222	0.067841	0.013620
waan	0.054112	0.341940	0.287828
heillä	0.054053	0.114221	0.060168
aiwan	0.053926	0.141667	0.087741
fuin	0.053821	0.073568	0.019747
keskuudessa	0.053363	0.085382	0.032019
pltä	0.053286	0.055356	0.002070
wain	0.053267	0.083009	0.029741
omaa	0.052900	0.108133	0.055233
olleen	0.052897	0.110971	0.058073
nuorta	0.052822	0.082751	0.029929
mielestä	0.052604	0.107772	0.055168
henkilöä	0.052576	0.099363	0.046787
waltion	0.052504	0.083009	0.030504
polttakaa	0.052401	0.055717	0.003316
toinen	0.052135	0.344055	0.291920
miehiä	0.051947	0.118658	0.066710
osuuskunnan	0.051723	0.052106	0.000383
oikein	0.051630	0.181494	0.129864
kannetaan	0.051292	0.068925	0.017632
hyvä	0.051220	0.104109	0.052889
saanut	0.051091	0.367116	0.316025
saatavana	0.050974	0.077592	0.026618
johbosta	0.050947	0.055614	0.004667
toiset	0.050898	0.128099	0.077200
lasten	0.050659	0.162767	0.112108
torpparien	0.050586	0.055253	0.004667
yhteiskunnan	0.050291	0.068615	0.018324
jalkineita	0.050076	0.067841	0.017765
ohjelma	0.050036	0.124694	0.074658
lienee	0.049973	0.199551	0.149578
puheenj	0.049874	0.051590	0.001716
komitean	0.049873	0.098073	0.048200
tilalle	0.049832	0.061805	0.011974
tullaan	0.049648	0.067170	0.017522
maan	0.049325	0.956225	0.906900
kai	0.049161	0.106689	0.057528
seon	0.049107	0.049939	0.000832
mihin	0.049069	0.115665	0.066596
osaa	0.048686	0.237521	0.188835
yleensä	0.048485	0.140377	0.091892
näyttää	0.048217	0.195114	0.146897
ehdottomasti	0.048042	0.103129	0.055087
puolueeseen	0.047966	0.050971	0.003005
fennia	0.047948	0.061392	0.013444
asioita	0.047860	0.164882	0.117022
toimintaa	0.047674	0.060980	0.013305
ehdotus	0.047417	0.129233	0.081817
sääntöjen	0.047355	0.080429	0.033074
juho	0.047295	0.193360	0.146065
tilauksia	0.047197	0.100343	0.053146
yleisen	0.047151	0.114737	0.067586
aitaan	0.047081	0.093894	0.046814
blo	0.047051	0.048340	0.001289
puhe	0.047006	0.096577	0.049571
ovat	0.047004	0.482317	0.435313
vuosi	0.046998	0.070111	0.023113
missä	0.046957	0.265277	0.218320
edullisin	0.046954	0.054170	0.007216
rahastonh	0.046900	0.046999	0.000099
jonkun	0.046635	0.153997	0.107362
työssä	0.046437	0.079294	0.032858
huomauttaa	0.046303	0.092398	0.046095
kieltolain	0.046296	0.048340	0.002044
kaikille	0.046115	0.125467	0.079352
laki	0.045934	0.083267	0.037332
tehneet	0.045824	0.101014	0.055190
mkn	0.045747	0.049939	0.004193
niihin	0.045634	0.142492	0.096858
kaikkea	0.045441	0.105192	0.059751
ilmestyy	0.045380	0.119947	0.074567
itsensä	0.045376	0.163902	0.118526
etuja	0.045284	0.075373	0.030089
nyttemmin	0.045270	0.055924	0.010654
hänet	0.045228	0.198055	0.152826
järjestöjen	0.045120	0.045141	0.000021
tule	0.045117	0.162767	0.117650
herrain	0.045028	0.068667	0.023638
taistelu	0.045017	0.066139	0.021122
lähettää	0.044881	0.128047	0.083166
ainakin	0.044811	0.178244	0.133433
päätös	0.044766	0.098434	0.053668
eihän	0.044557	0.087239	0.042682
irti	0.044530	0.078469	0.033938
jälteen	0.044520	0.109836	0.065315
yhteydessä	0.044511	0.116078	0.071567
sosialismin	0.044499	0.046018	0.001519
enempi	0.044457	0.072020	0.027563
arv	0.044339	0.061186	0.016847
tulla	0.044209	0.194959	0.150751
tehty	0.044098	0.163025	0.118927
keravalta	0.044090	0.048856	0.004766
tehnyt	0.044083	0.194186	0.150102
onollut	0.044081	0.044110	0.000029
jotain	0.044052	0.108546	0.064494
tulemat	0.044008	0.137127	0.093119
mainittu	0.043979	0.147548	0.103570
luettiin	0.043966	0.082183	0.038217
toiminnan	0.043938	0.055511	0.011573
eduskunnalle	0.043914	0.044522	0.000609
lauant	0.043813	0.055253	0.011440
ottamaan	0.043617	0.112209	0.068592
maikka	0.043542	0.161168	0.117625
sanomalehti	0.043487	0.073000	0.029514
liittoon	0.043392	0.049681	0.006289
torpparit	0.043353	0.049630	0.006277
onhan	0.043350	0.095081	0.051730
mieltä	0.043310	0.106792	0.063482
sanottu	0.043128	0.087807	0.044679
avoinna	0.043096	0.258931	0.215835
maata	0.042948	0.132484	0.089536
komitea	0.042921	0.099105	0.056184
asiain	0.042737	0.091882	0.049145
prof	0.042634	0.062992	0.020358
jäsenen	0.042601	0.058555	0.015954
sille	0.042493	0.196662	0.154169
keravalle	0.042444	0.047308	0.004865
pitänyt	0.042442	0.109732	0.067290
täysin	0.042411	0.099053	0.056643
kotkan	0.042398	0.080636	0.038237
jättää	0.042383	0.125932	0.083548
roalittiin	0.042374	0.046431	0.004057
tilaisuus	0.042252	0.078159	0.035907
joiden	0.042146	0.202956	0.160810
ajan	0.042145	0.223025	0.180880
niille	0.042115	0.133103	0.090987
työroäen	0.042090	0.043078	0.000987
aitana	0.042054	0.085124	0.043070
länsisuomen	0.041774	0.043542	0.001768
venäjän	0.041688	0.110248	0.068561
osuuskaupan	0.041633	0.041685	0.000052
niiben	0.041620	0.047205	0.005585
tekemään	0.041506	0.109320	0.067813
